"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,50000,0,0,0,0,0,0,0,1
25,50000,0,0,0,0,0,0,0,0
40,50000,0,0,0,0,0,0,0,1
49,50000,0,0,0,0,0,0,0,0
64,50000,0,0,0,0,0,0,0,1
67,50000,0,0,0,0,0,0,0,0
82,50000,0,0,0,0,0,0,0,1
85,50000,0,0,0,0,0,0,0,0
88,50000,0,0,0,0,0,0,0,1
103,50000,0,0,0,0,0,0,0,0
106,50000,0,0,0,0,0,0,0,1
115,50000,0,0,0,0,0,0,0,0
118,50000,0,0,0,0,0,0,0,1
124,50000,0,0,0,0,0,0,0,0
137,50000,0,0,0,0,0,0,0,1
145,50000,0,0,0,0,0,0,0,0
149,50000,0,0,0,0,0,0,0,1
152,50000,0,0,0,0,0,0,0,0
155,50000,0,0,0,0,0,0,0,1
161,50000,0,0,0,0,0,0,0,0
164,50000,0,0,0,0,0,0,0,1
245,50000,0,0,0,0,0,0,0,0
260,50000,0,0,0,0,0,0,0,1
269,50000,0,0,0,0,0,0,0,0
285,50000,0,0,0,0,0,0,0,1
287,50000,0,0,0,0,0,0,0,0
303,50000,0,0,0,0,0,0,0,1
306,50000,0,0,0,0,0,0,0,0
309,50000,0,0,0,0,0,0,0,1
324,50000,0,0,0,0,0,0,0,0
327,50000,0,0,0,0,0,0,0,1
336,50000,0,0,0,0,0,0,0,0
339,50000,0,0,0,0,0,0,0,1
345,50000,0,0,0,0,0,0,0,0
357,50000,0,0,0,0,0,0,0,1
366,50000,0,0,0,0,0,0,0,0
369,50000,0,0,0,0,0,0,0,1
372,50000,0,0,0,0,0,0,0,0
375,50000,0,0,0,0,0,0,0,1
381,50000,0,0,0,0,0,0,0,0
384,50000,0,0,0,0,0,0,0,1
466,50000,0,0,0,0,0,0,0,0
481,50000,0,0,0,0,0,0,0,1
490,50000,0,0,0,0,0,0,0,0
505,50000,0,0,0,0,0,0,0,1
508,50000,0,0,0,0,0,0,0,0
523,50000,0,0,0,0,0,0,0,1
526,50000,0,0,0,0,0,0,0,0
529,50000,0,0,0,0,0,0,0,1
544,50000,0,0,0,0,0,0,0,0
548,50000,0,0,0,0,0,0,0,1
556,50000,0,0,0,0,0,0,0,0
560,50000,0,0,0,0,0,0,0,1
565,50000,0,0,0,0,0,0,0,0
578,50000,0,0,0,0,0,0,0,1
587,50000,0,0,0,0,0,0,0,0
590,50000,0,0,0,0,0,0,0,1
593,50000,0,0,0,0,0,0,0,0
596,50000,0,0,0,0,0,0,0,1
602,50000,0,0,0,0,0,0,0,0
605,50000,0,0,0,0,0,0,0,1
686,50000,0,0,0,0,0,0,0,0
702,50000,0,0,0,0,0,0,0,1
711,50000,0,0,0,0,0,0,0,0
726,50000,0,0,0,0,0,0,0,1
729,50000,0,0,0,0,0,0,0,0
744,50000,0,0,0,0,0,0,0,1
747,50000,0,0,0,0,0,0,0,0
750,50000,0,0,0,0,0,0,0,1
765,50000,0,0,0,0,0,0,0,0
768,50000,0,0,0,0,0,0,0,1
777,50000,0,0,0,0,0,0,0,0
780,50000,0,0,0,0,0,0,0,1
786,50000,0,0,0,0,0,0,0,0
798,50000,0,0,0,0,0,0,0,1
807,50000,0,0,0,0,0,0,0,0
810,50000,0,0,0,0,0,0,0,1
813,50000,0,0,0,0,0,0,0,0
816,50000,0,0,0,0,0,0,0,1
822,50000,0,0,0,0,0,0,0,0
825,50000,0,0,0,0,0,0,0,1
907,50000,0,0,0,0,0,0,0,0
922,50000,0,0,0,0,0,0,0,1
931,50000,0,0,0,0,0,0,0,0
946,50000,0,0,0,0,0,0,0,1
949,50000,0,0,0,0,0,0,0,0
964,50000,0,0,0,0,0,0,0,1
967,50000,0,0,0,0,0,0,0,0
971,50000,0,0,0,0,0,0,0,1
985,50000,0,0,0,0,0,0,0,0
989,50000,0,0,0,0,0,0,0,1
998,50000,0,0,0,0,0,0,0,0
1001,50000,0,0,0,0,0,0,0,1
1007,50000,0,0,0,0,0,0,0,0
1019,50000,0,0,0,0,0,0,0,1
1028,50000,0,0,0,0,0,0,0,0
1031,50000,0,0,0,0,0,0,0,1
1034,50000,0,0,0,0,0,0,0,0
1037,50000,0,0,0,0,0,0,0,1
1043,50000,0,0,0,0,0,0,0,0
1046,50000,0,0,0,0,0,0,0,1
1127,50000,0,0,0,0,0,0,0,0
1143,50000,0,0,0,0,0,0,0,1
1152,50000,0,0,0,0,0,0,0,0
1167,50000,0,0,0,0,0,0,0,1
1170,50000,0,0,0,0,0,0,0,0
1185,50000,0,0,0,0,0,0,0,1
1188,50000,0,0,0,0,0,0,0,0
1191,50000,0,0,0,0,0,0,0,1
1206,50000,0,0,0,0,0,0,0,0
1209,50000,0,0,0,0,0,0,0,1
1218,50000,0,0,0,0,0,0,0,0
1221,50000,0,0,0,0,0,0,0,1
1227,50000,0,0,0,0,0,0,0,0
1239,50000,0,0,0,0,0,0,0,1
1248,50000,0,0,0,0,0,0,0,0
1252,50000,0,0,0,0,0,0,0,1
1254,50000,0,0,0,0,0,0,0,0
