"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,50000,0,0,0,0,0,0,0,0
11,50000,0,0,0,0,0,0,0,1
14,50000,0,0,0,0,0,0,0,0
29,50000,0,0,0,0,0,0,0,1
32,50000,0,0,0,0,0,0,0,0
36,50000,0,0,0,0,0,0,0,1
51,50000,0,0,0,0,0,0,0,0
54,50000,0,0,0,0,0,0,0,1
63,50000,0,0,0,0,0,0,0,0
66,50000,0,0,0,0,0,0,0,1
72,50000,0,0,0,0,0,0,0,0
84,50000,0,0,0,0,0,0,0,1
93,50000,0,0,0,0,0,0,0,0
96,50000,0,0,0,0,0,0,0,1
99,50000,0,0,0,0,0,0,0,0
102,50000,0,0,0,0,0,0,0,1
108,50000,0,0,0,0,0,0,0,0
111,50000,0,0,0,0,0,0,0,1
114,50000,0,0,0,0,0,0,0,0
117,50000,0,0,0,0,0,0,0,1
1216,50000,0,0,0,0,0,0,0,0
1231,50000,0,0,0,0,0,0,0,1
1240,50000,0,0,0,0,0,0,0,0
1256,50000,0,0,0,0,0,0,0,1
1258,50000,0,0,0,0,0,0,0,0
1274,50000,0,0,0,0,0,0,0,1
1277,50000,0,0,0,0,0,0,0,0
1280,50000,0,0,0,0,0,0,0,1
1283,50000,0,0,0,0,0,0,0,0
1298,50000,0,0,0,0,0,0,0,1
1301,50000,0,0,0,0,0,0,0,0
1307,50000,0,0,0,0,0,0,0,1
1316,50000,0,0,0,0,0,0,0,0
1328,50000,0,0,0,0,0,0,0,1
1331,50000,0,0,0,0,0,0,0,0
1334,50000,0,0,0,0,0,0,0,1
1337,50000,0,0,0,0,0,0,0,0
1349,50000,0,0,0,0,0,0,0,1
1358,50000,0,0,0,0,0,0,0,0
1362,50000,0,0,0,0,0,0,0,1
3366,50000,0,0,0,0,0,0,0,0
3381,50000,0,0,0,0,0,0,0,1
3390,50000,0,0,0,0,0,0,0,0
3405,50000,0,0,0,0,0,0,0,1
3408,50000,0,0,0,0,0,0,0,0
3423,50000,0,0,0,0,0,0,0,1
3426,50000,0,0,0,0,0,0,0,0
3429,50000,0,0,0,0,0,0,0,1
3432,50000,0,0,0,0,0,0,0,0
3447,50000,0,0,0,0,0,0,0,1
3450,50000,0,0,0,0,0,0,0,0
3456,50000,0,0,0,0,0,0,0,1
3465,50000,0,0,0,0,0,0,0,0
3478,50000,0,0,0,0,0,0,0,1
3481,50000,0,0,0,0,0,0,0,0
3484,50000,0,0,0,0,0,0,0,1
3487,50000,0,0,0,0,0,0,0,0
3499,50000,0,0,0,0,0,0,0,1
3508,50000,0,0,0,0,0,0,0,0
3511,50000,0,0,0,0,0,0,0,1
4756,50000,0,0,0,0,0,0,0,0
4771,50000,0,0,0,0,0,0,0,1
4780,50000,0,0,0,0,0,0,0,0
4795,50000,0,0,0,0,0,0,0,1
4798,50000,0,0,0,0,0,0,0,0
4813,50000,0,0,0,0,0,0,0,1
4816,50000,0,0,0,0,0,0,0,0
4819,50000,0,0,0,0,0,0,0,1
4834,50000,0,0,0,0,0,0,0,0
4838,50000,0,0,0,0,0,0,0,1
4846,50000,0,0,0,0,0,0,0,0
4850,50000,0,0,0,0,0,0,0,1
4856,50000,0,0,0,0,0,0,0,0
4868,50000,0,0,0,0,0,0,0,1
4877,50000,0,0,0,0,0,0,0,0
4880,50000,0,0,0,0,0,0,0,1
4883,50000,0,0,0,0,0,0,0,0
4886,50000,0,0,0,0,0,0,0,1
4892,50000,0,0,0,0,0,0,0,0
4895,50000,0,0,0,0,0,0,0,1
4898,50000,0,0,0,0,0,0,0,0
4901,50000,0,0,0,0,0,0,0,1
5549,50000,0,0,0,0,0,0,0,0
5564,50000,0,0,0,0,0,0,0,1
5573,50000,0,0,0,0,0,0,0,0
5588,50000,0,0,0,0,0,0,0,1
5591,50000,0,0,0,0,0,0,0,0
5606,50000,0,0,0,0,0,0,0,1
5609,50000,0,0,0,0,0,0,0,0
5613,50000,0,0,0,0,0,0,0,1
5615,50000,0,0,0,0,0,0,0,0
5631,50000,0,0,0,0,0,0,0,1
5634,50000,0,0,0,0,0,0,0,0
5640,50000,0,0,0,0,0,0,0,1
5649,50000,0,0,0,0,0,0,0,0
5661,50000,0,0,0,0,0,0,0,1
5664,50000,0,0,0,0,0,0,0,0
5667,50000,0,0,0,0,0,0,0,1
5670,50000,0,0,0,0,0,0,0,0
5682,50000,0,0,0,0,0,0,0,1
5691,50000,0,0,0,0,0,0,0,0
5694,50000,0,0,0,0,0,0,0,1
7168,50000,0,0,0,0,0,0,0,1
