"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,50000,0,0,0,0,0,0,0,1
1522,50000,0,0,0,0,0,0,0,0
1537,50000,0,0,0,0,0,0,0,1
1546,50000,0,0,0,0,0,0,0,0
1562,50000,0,0,0,0,0,0,0,1
1564,50000,0,0,0,0,0,0,0,0
1580,50000,0,0,0,0,0,0,0,1
1583,50000,0,0,0,0,0,0,0,0
1586,50000,0,0,0,0,0,0,0,1
1589,50000,0,0,0,0,0,0,0,0
1598,50000,0,0,0,0,0,0,0,1
1601,50000,0,0,0,0,0,0,0,0
1616,50000,0,0,0,0,0,0,0,1
1619,50000,0,0,0,0,0,0,0,0
1625,50000,0,0,0,0,0,0,0,1
1628,50000,0,0,0,0,0,0,0,0
1634,50000,0,0,0,0,0,0,0,1
1637,50000,0,0,0,0,0,0,0,0
1640,50000,0,0,0,0,0,0,0,1
1643,50000,0,0,0,0,0,0,0,0
1649,50000,0,0,0,0,0,0,0,1
1655,50000,0,0,0,0,0,0,0,0
1658,50000,0,0,0,0,0,0,0,1
1664,50000,0,0,0,0,0,0,0,0
1668,50000,0,0,0,0,0,0,0,1
3571,50000,0,0,0,0,0,0,0,0
3586,50000,0,0,0,0,0,0,0,1
3595,50000,0,0,0,0,0,0,0,0
3610,50000,0,0,0,0,0,0,0,1
3613,50000,0,0,0,0,0,0,0,0
3629,50000,0,0,0,0,0,0,0,1
3631,50000,0,0,0,0,0,0,0,0
3635,50000,0,0,0,0,0,0,0,1
3650,50000,0,0,0,0,0,0,0,0
3653,50000,0,0,0,0,0,0,0,1
3662,50000,0,0,0,0,0,0,0,0
3665,50000,0,0,0,0,0,0,0,1
3671,50000,0,0,0,0,0,0,0,0
3683,50000,0,0,0,0,0,0,0,1
3692,50000,0,0,0,0,0,0,0,0
3695,50000,0,0,0,0,0,0,0,1
3698,50000,0,0,0,0,0,0,0,0
3701,50000,0,0,0,0,0,0,0,1
3707,50000,0,0,0,0,0,0,0,0
3710,50000,0,0,0,0,0,0,0,1
3713,50000,0,0,0,0,0,0,0,0
3716,50000,0,0,0,0,0,0,0,1
3749,50000,0,0,0,0,0,0,0,0
3765,50000,0,0,0,0,0,0,0,1
3774,50000,0,0,0,0,0,0,0,0
3789,50000,0,0,0,0,0,0,0,1
3792,50000,0,0,0,0,0,0,0,0
3807,50000,0,0,0,0,0,0,0,1
3810,50000,0,0,0,0,0,0,0,0
3813,50000,0,0,0,0,0,0,0,1
3816,50000,0,0,0,0,0,0,0,0
3825,50000,0,0,0,0,0,0,0,1
3828,50000,0,0,0,0,0,0,0,0
3843,50000,0,0,0,0,0,0,0,1
3846,50000,0,0,0,0,0,0,0,0
3853,50000,0,0,0,0,0,0,0,1
3855,50000,0,0,0,0,0,0,0,0
3862,50000,0,0,0,0,0,0,0,1
3865,50000,0,0,0,0,0,0,0,0
3868,50000,0,0,0,0,0,0,0,1
3871,50000,0,0,0,0,0,0,0,0
3877,50000,0,0,0,0,0,0,0,1
3883,50000,0,0,0,0,0,0,0,0
3886,50000,0,0,0,0,0,0,0,1
3892,50000,0,0,0,0,0,0,0,0
3895,50000,0,0,0,0,0,0,0,1
5832,50000,0,0,0,0,0,0,0,0
5848,50000,0,0,0,0,0,0,0,1
5857,50000,0,0,0,0,0,0,0,0
5872,50000,0,0,0,0,0,0,0,1
5875,50000,0,0,0,0,0,0,0,0
5890,50000,0,0,0,0,0,0,0,1
5893,50000,0,0,0,0,0,0,0,0
5896,50000,0,0,0,0,0,0,0,1
5899,50000,0,0,0,0,0,0,0,0
5908,50000,0,0,0,0,0,0,0,1
5911,50000,0,0,0,0,0,0,0,0
5926,50000,0,0,0,0,0,0,0,1
5929,50000,0,0,0,0,0,0,0,0
5935,50000,0,0,0,0,0,0,0,1
5938,50000,0,0,0,0,0,0,0,0
5944,50000,0,0,0,0,0,0,0,1
5947,50000,0,0,0,0,0,0,0,0
5951,50000,0,0,0,0,0,0,0,1
5953,50000,0,0,0,0,0,0,0,0
5960,50000,0,0,0,0,0,0,0,1
5966,50000,0,0,0,0,0,0,0,0
5969,50000,0,0,0,0,0,0,0,1
5975,50000,0,0,0,0,0,0,0,0
5978,50000,0,0,0,0,0,0,0,1
7168,50000,0,0,0,0,0,0,0,1
