"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,50000,0,0,0,0,0,0,0,1
1324,50000,0,0,0,0,0,0,0,0
1339,50000,0,0,0,0,0,0,0,1
1348,50000,0,0,0,0,0,0,0,0
1363,50000,0,0,0,0,0,0,0,1
1366,50000,0,0,0,0,0,0,0,0
1382,50000,0,0,0,0,0,0,0,1
1385,50000,0,0,0,0,0,0,0,0
1388,50000,0,0,0,0,0,0,0,1
1403,50000,0,0,0,0,0,0,0,0
1406,50000,0,0,0,0,0,0,0,1
1415,50000,0,0,0,0,0,0,0,0
1418,50000,0,0,0,0,0,0,0,1
1424,50000,0,0,0,0,0,0,0,0
1436,50000,0,0,0,0,0,0,0,1
1445,50000,0,0,0,0,0,0,0,0
1448,50000,0,0,0,0,0,0,0,1
1451,50000,0,0,0,0,0,0,0,0
1454,50000,0,0,0,0,0,0,0,1
1460,50000,0,0,0,0,0,0,0,0
1463,50000,0,0,0,0,0,0,0,1
1466,50000,0,0,0,0,0,0,0,0
1469,50000,0,0,0,0,0,0,0,1
1718,50000,0,0,0,0,0,0,0,0
1733,50000,0,0,0,0,0,0,0,1
1742,50000,0,0,0,0,0,0,0,0
1757,50000,0,0,0,0,0,0,0,1
1760,50000,0,0,0,0,0,0,0,0
1775,50000,0,0,0,0,0,0,0,1
1778,50000,0,0,0,0,0,0,0,0
1781,50000,0,0,0,0,0,0,0,1
1784,50000,0,0,0,0,0,0,0,0
1796,50000,0,0,0,0,0,0,0,1
1799,50000,0,0,0,0,0,0,0,0
1809,50000,0,0,0,0,0,0,0,1
1811,50000,0,0,0,0,0,0,0,0
1815,50000,0,0,0,0,0,0,0,1
1818,50000,0,0,0,0,0,0,0,0
1830,50000,0,0,0,0,0,0,0,1
1836,50000,0,0,0,0,0,0,0,0
1839,50000,0,0,0,0,0,0,0,1
1848,50000,0,0,0,0,0,0,0,0
1851,50000,0,0,0,0,0,0,0,1
1857,50000,0,0,0,0,0,0,0,0
1860,50000,0,0,0,0,0,0,0,1
3913,50000,0,0,0,0,0,0,0,0
3928,50000,0,0,0,0,0,0,0,1
3937,50000,0,0,0,0,0,0,0,0
3953,50000,0,0,0,0,0,0,0,1
3956,50000,0,0,0,0,0,0,0,0
3971,50000,0,0,0,0,0,0,0,1
3974,50000,0,0,0,0,0,0,0,0
3977,50000,0,0,0,0,0,0,0,1
3980,50000,0,0,0,0,0,0,0,0
3992,50000,0,0,0,0,0,0,0,1
3995,50000,0,0,0,0,0,0,0,0
4004,50000,0,0,0,0,0,0,0,1
4007,50000,0,0,0,0,0,0,0,0
4010,50000,0,0,0,0,0,0,0,1
4013,50000,0,0,0,0,0,0,0,0
4025,50000,0,0,0,0,0,0,0,1
4031,50000,0,0,0,0,0,0,0,0
4034,50000,0,0,0,0,0,0,0,1
4043,50000,0,0,0,0,0,0,0,0
4047,50000,0,0,0,0,0,0,0,1
4053,50000,0,0,0,0,0,0,0,0
4056,50000,0,0,0,0,0,0,0,1
6135,50000,0,0,0,0,0,0,0,0
6151,50000,0,0,0,0,0,0,0,1
6160,50000,0,0,0,0,0,0,0,0
6175,50000,0,0,0,0,0,0,0,1
6178,50000,0,0,0,0,0,0,0,0
6193,50000,0,0,0,0,0,0,0,1
6196,50000,0,0,0,0,0,0,0,0
6199,50000,0,0,0,0,0,0,0,1
6202,50000,0,0,0,0,0,0,0,0
6214,50000,0,0,0,0,0,0,0,1
6217,50000,0,0,0,0,0,0,0,0
6226,50000,0,0,0,0,0,0,0,1
6229,50000,0,0,0,0,0,0,0,0
6232,50000,0,0,0,0,0,0,0,1
6235,50000,0,0,0,0,0,0,0,0
6247,50000,0,0,0,0,0,0,0,1
6253,50000,0,0,0,0,0,0,0,0
6257,50000,0,0,0,0,0,0,0,1
6266,50000,0,0,0,0,0,0,0,0
6269,50000,0,0,0,0,0,0,0,1
6275,50000,0,0,0,0,0,0,0,0
6278,50000,0,0,0,0,0,0,0,1
6311,50000,0,0,0,0,0,0,0,0
6326,50000,0,0,0,0,0,0,0,1
6335,50000,0,0,0,0,0,0,0,0
6350,50000,0,0,0,0,0,0,0,1
6353,50000,0,0,0,0,0,0,0,0
6368,50000,0,0,0,0,0,0,0,1
6371,50000,0,0,0,0,0,0,0,0
6375,50000,0,0,0,0,0,0,0,1
6390,50000,0,0,0,0,0,0,0,0
6393,50000,0,0,0,0,0,0,0,1
6402,50000,0,0,0,0,0,0,0,0
6405,50000,0,0,0,0,0,0,0,1
6411,50000,0,0,0,0,0,0,0,0
6423,50000,0,0,0,0,0,0,0,1
6432,50000,0,0,0,0,0,0,0,0
6435,50000,0,0,0,0,0,0,0,1
6438,50000,0,0,0,0,0,0,0,0
6441,50000,0,0,0,0,0,0,0,1
6447,50000,0,0,0,0,0,0,0,0
6450,50000,0,0,0,0,0,0,0,1
6453,50000,0,0,0,0,0,0,0,0
6456,50000,0,0,0,0,0,0,0,1
7168,50000,0,0,0,0,0,0,0,1
