"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","ENABLE","DATA","CLK"
0,20000,0,0,0,0,0,0,1,1
308,20000,0,0,0,0,0,1,1,1
310,20000,0,0,0,0,0,0,1,1
312,20000,0,0,0,0,0,1,1,1
313,20000,0,0,0,0,0,1,0,0
315,20000,0,0,0,0,0,1,0,1
316,20000,0,0,0,0,0,1,0,0
317,20000,0,0,0,0,0,1,0,1
319,20000,0,0,0,0,0,1,0,0
320,20000,0,0,0,0,0,1,0,1
321,20000,0,0,0,0,0,1,0,0
322,20000,0,0,0,0,0,1,0,1
323,20000,0,0,0,0,0,1,1,1
324,20000,0,0,0,0,0,1,1,0
325,20000,0,0,0,0,0,1,1,1
326,20000,0,0,0,0,0,1,1,0
328,20000,0,0,0,0,0,1,1,1
329,20000,0,0,0,0,0,1,1,0
330,20000,0,0,0,0,0,1,1,1
332,20000,0,0,0,0,0,1,1,0
333,20000,0,0,0,0,0,1,1,1
335,20000,0,0,0,0,0,1,1,0
336,20000,0,0,0,0,0,1,0,1
337,20000,0,0,0,0,0,1,0,0
338,20000,0,0,0,0,0,1,0,1
339,20000,0,0,0,0,0,1,1,1
340,20000,0,0,0,0,0,1,1,0
341,20000,0,0,0,0,0,1,1,1
342,20000,0,0,0,0,0,1,0,0
344,20000,0,0,0,0,0,1,1,1
345,20000,0,0,0,0,0,1,1,0
346,20000,0,0,0,0,0,1,1,1
348,20000,0,0,0,0,0,1,1,0
349,20000,0,0,0,0,0,1,0,1
350,20000,0,0,0,0,0,1,0,0
351,20000,0,0,0,0,0,1,0,1
352,20000,0,0,0,0,0,1,1,1
353,20000,0,0,0,0,0,1,1,0
354,20000,0,0,0,0,0,1,1,1
356,20000,0,0,0,0,0,1,1,0
357,20000,0,0,0,0,0,1,0,1
358,20000,0,0,0,0,0,1,0,0
359,20000,0,0,0,0,0,1,0,1
360,20000,0,0,0,0,0,1,1,1
361,20000,0,0,0,0,0,1,1,0
362,20000,0,0,0,0,0,1,1,1
