"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,100000,0,0,0,0,0,0,1,1
592,100000,0,0,0,0,0,0,1,0
593,100000,0,0,0,0,0,0,1,1
594,100000,0,0,0,0,0,0,0,0
957,100000,0,0,0,0,0,0,1,1
969,100000,0,0,0,0,0,1,1,1
977,100000,0,0,0,0,0,0,1,1
979,100000,0,0,0,0,0,0,0,0
981,100000,0,0,0,0,0,0,1,0
982,100000,0,0,0,0,0,0,1,1
990,100000,0,0,0,0,0,1,1,1
994,100000,0,0,0,0,0,1,1,0
998,100000,0,0,0,0,0,1,0,0
1004,100000,0,0,0,0,0,1,1,0
1011,100000,0,0,0,0,0,1,0,0
1017,100000,0,0,0,0,0,1,1,0
1023,100000,0,0,0,0,0,1,0,0
1030,100000,0,0,0,0,0,1,1,0
1036,100000,0,0,0,0,0,1,0,0
1043,100000,0,0,0,0,0,1,1,0
1046,100000,0,0,0,0,0,1,1,1
1049,100000,0,0,0,0,0,1,0,1
1056,100000,0,0,0,0,0,1,1,1
1062,100000,0,0,0,0,0,1,0,1
1069,100000,0,0,0,0,0,1,1,1
1075,100000,0,0,0,0,0,1,0,1
1082,100000,0,0,0,0,0,1,1,1
1089,100000,0,0,0,0,0,1,0,1
1095,100000,0,0,0,0,0,1,1,1
1103,100000,0,0,0,0,0,1,0,1
1110,100000,0,0,0,0,0,1,1,1
1113,100000,0,0,0,0,0,1,1,0
1116,100000,0,0,0,0,0,1,0,0
1122,100000,0,0,0,0,0,1,1,0
1126,100000,0,0,0,0,0,1,1,1
1129,100000,0,0,0,0,0,1,0,1
1136,100000,0,0,0,0,0,1,1,1
1142,100000,0,0,0,0,0,1,0,1
1149,100000,0,0,0,0,0,1,1,1
1155,100000,0,0,0,0,0,1,0,1
1162,100000,0,0,0,0,0,1,1,1
1165,100000,0,0,0,0,0,1,1,0
1168,100000,0,0,0,0,0,1,0,0
1174,100000,0,0,0,0,0,1,1,0
1178,100000,0,0,0,0,0,1,1,1
1181,100000,0,0,0,0,0,1,0,1
1188,100000,0,0,0,0,0,1,1,1
1190,100000,0,0,0,0,0,1,1,0
1194,100000,0,0,0,0,0,1,0,0
1200,100000,0,0,0,0,0,1,1,0
1205,100000,0,0,0,0,0,1,1,1
1209,100000,0,0,0,0,0,1,0,1
1215,100000,0,0,0,0,0,1,1,1
1218,100000,0,0,0,0,0,1,1,0
1222,100000,0,0,0,0,0,1,0,0
1228,100000,0,0,0,0,0,1,1,0
1231,100000,0,0,0,0,0,1,1,1
1235,100000,0,0,0,0,0,1,0,1
1241,100000,0,0,0,0,0,1,1,1
1244,100000,0,0,0,0,0,1,1,0
