"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,50000,0,0,0,0,0,0,0,1
834,50000,0,0,0,0,0,0,0,0
849,50000,0,0,0,0,0,0,0,1
858,50000,0,0,0,0,0,0,0,0
873,50000,0,0,0,0,0,0,0,1
876,50000,0,0,0,0,0,0,0,0
891,50000,0,0,0,0,0,0,0,1
894,50000,0,0,0,0,0,0,0,0
897,50000,0,0,0,0,0,0,0,1
912,50000,0,0,0,0,0,0,0,0
916,50000,0,0,0,0,0,0,0,1
924,50000,0,0,0,0,0,0,0,0
928,50000,0,0,0,0,0,0,0,1
934,50000,0,0,0,0,0,0,0,0
946,50000,0,0,0,0,0,0,0,1
955,50000,0,0,0,0,0,0,0,0
958,50000,0,0,0,0,0,0,0,1
961,50000,0,0,0,0,0,0,0,0
964,50000,0,0,0,0,0,0,0,1
970,50000,0,0,0,0,0,0,0,0
973,50000,0,0,0,0,0,0,0,1
976,50000,0,0,0,0,0,0,0,0
979,50000,0,0,0,0,0,0,0,1
1103,50000,0,0,0,0,0,0,0,0
1118,50000,0,0,0,0,0,0,0,1
1127,50000,0,0,0,0,0,0,0,0
1143,50000,0,0,0,0,0,0,0,1
1146,50000,0,0,0,0,0,0,0,0
1161,50000,0,0,0,0,0,0,0,1
1164,50000,0,0,0,0,0,0,0,0
1167,50000,0,0,0,0,0,0,0,1
1170,50000,0,0,0,0,0,0,0,0
1185,50000,0,0,0,0,0,0,0,1
1188,50000,0,0,0,0,0,0,0,0
1191,50000,0,0,0,0,0,0,0,1
1194,50000,0,0,0,0,0,0,0,0
1197,50000,0,0,0,0,0,0,0,1
1203,50000,0,0,0,0,0,0,0,0
1206,50000,0,0,0,0,0,0,0,1
1209,50000,0,0,0,0,0,0,0,0
1212,50000,0,0,0,0,0,0,0,1
1215,50000,0,0,0,0,0,0,0,0
1221,50000,0,0,0,0,0,0,0,1
1230,50000,0,0,0,0,0,0,0,0
1240,50000,0,0,0,0,0,0,0,1
1246,50000,0,0,0,0,0,0,0,0
1249,50000,0,0,0,0,0,0,0,1
3289,50000,0,0,0,0,0,0,0,0
3304,50000,0,0,0,0,0,0,0,1
3313,50000,0,0,0,0,0,0,0,0
3328,50000,0,0,0,0,0,0,0,1
3331,50000,0,0,0,0,0,0,0,0
3347,50000,0,0,0,0,0,0,0,1
3350,50000,0,0,0,0,0,0,0,0
3353,50000,0,0,0,0,0,0,0,1
3356,50000,0,0,0,0,0,0,0,0
3371,50000,0,0,0,0,0,0,0,1
3374,50000,0,0,0,0,0,0,0,0
3377,50000,0,0,0,0,0,0,0,1
3380,50000,0,0,0,0,0,0,0,0
3383,50000,0,0,0,0,0,0,0,1
3389,50000,0,0,0,0,0,0,0,0
3392,50000,0,0,0,0,0,0,0,1
3395,50000,0,0,0,0,0,0,0,0
3398,50000,0,0,0,0,0,0,0,1
3401,50000,0,0,0,0,0,0,0,0
3407,50000,0,0,0,0,0,0,0,1
3416,50000,0,0,0,0,0,0,0,0
3425,50000,0,0,0,0,0,0,0,1
3431,50000,0,0,0,0,0,0,0,0
3435,50000,0,0,0,0,0,0,0,1
5320,50000,0,0,0,0,0,0,0,0
5336,50000,0,0,0,0,0,0,0,1
5345,50000,0,0,0,0,0,0,0,0
5360,50000,0,0,0,0,0,0,0,1
5363,50000,0,0,0,0,0,0,0,0
5378,50000,0,0,0,0,0,0,0,1
5381,50000,0,0,0,0,0,0,0,0
5384,50000,0,0,0,0,0,0,0,1
5387,50000,0,0,0,0,0,0,0,0
5402,50000,0,0,0,0,0,0,0,1
5405,50000,0,0,0,0,0,0,0,0
5408,50000,0,0,0,0,0,0,0,1
5411,50000,0,0,0,0,0,0,0,0
5414,50000,0,0,0,0,0,0,0,1
5420,50000,0,0,0,0,0,0,0,0
5423,50000,0,0,0,0,0,0,0,1
5426,50000,0,0,0,0,0,0,0,0
5429,50000,0,0,0,0,0,0,0,1
5432,50000,0,0,0,0,0,0,0,0
5439,50000,0,0,0,0,0,0,0,1
5448,50000,0,0,0,0,0,0,0,0
5457,50000,0,0,0,0,0,0,0,1
5463,50000,0,0,0,0,0,0,0,0
5466,50000,0,0,0,0,0,0,0,1
5819,50000,0,0,0,0,0,0,0,0
5835,50000,0,0,0,0,0,0,0,1
5844,50000,0,0,0,0,0,0,0,0
5859,50000,0,0,0,0,0,0,0,1
5862,50000,0,0,0,0,0,0,0,0
5877,50000,0,0,0,0,0,0,0,1
5880,50000,0,0,0,0,0,0,0,0
5883,50000,0,0,0,0,0,0,0,1
5898,50000,0,0,0,0,0,0,0,0
5901,50000,0,0,0,0,0,0,0,1
5910,50000,0,0,0,0,0,0,0,0
5913,50000,0,0,0,0,0,0,0,1
5919,50000,0,0,0,0,0,0,0,0
5931,50000,0,0,0,0,0,0,0,1
5940,50000,0,0,0,0,0,0,0,0
5943,50000,0,0,0,0,0,0,0,1
5946,50000,0,0,0,0,0,0,0,0
5949,50000,0,0,0,0,0,0,0,1
5955,50000,0,0,0,0,0,0,0,0
5958,50000,0,0,0,0,0,0,0,1
5962,50000,0,0,0,0,0,0,0,0
5965,50000,0,0,0,0,0,0,0,1
7168,50000,0,0,0,0,0,0,0,1
