"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,50000,0,0,0,0,0,0,0,1
1538,50000,0,0,0,0,0,0,0,0
1553,50000,0,0,0,0,0,0,0,1
1562,50000,0,0,0,0,0,0,0,0
1577,50000,0,0,0,0,0,0,0,1
1580,50000,0,0,0,0,0,0,0,0
1596,50000,0,0,0,0,0,0,0,1
1599,50000,0,0,0,0,0,0,0,0
1602,50000,0,0,0,0,0,0,0,1
1605,50000,0,0,0,0,0,0,0,0
1611,50000,0,0,0,0,0,0,0,1
1614,50000,0,0,0,0,0,0,0,0
1629,50000,0,0,0,0,0,0,0,1
1644,50000,0,0,0,0,0,0,0,0
1647,50000,0,0,0,0,0,0,0,1
1662,50000,0,0,0,0,0,0,0,0
1665,50000,0,0,0,0,0,0,0,1
1671,50000,0,0,0,0,0,0,0,0
1674,50000,0,0,0,0,0,0,0,1
1677,50000,0,0,0,0,0,0,0,0
1683,50000,0,0,0,0,0,0,0,1
1686,50000,0,0,0,0,0,0,0,0
1690,50000,0,0,0,0,0,0,0,1
3733,50000,0,0,0,0,0,0,0,0
3748,50000,0,0,0,0,0,0,0,1
3757,50000,0,0,0,0,0,0,0,0
3772,50000,0,0,0,0,0,0,0,1
3775,50000,0,0,0,0,0,0,0,0
3790,50000,0,0,0,0,0,0,0,1
3793,50000,0,0,0,0,0,0,0,0
3797,50000,0,0,0,0,0,0,0,1
3799,50000,0,0,0,0,0,0,0,0
3806,50000,0,0,0,0,0,0,0,1
3809,50000,0,0,0,0,0,0,0,0
3824,50000,0,0,0,0,0,0,0,1
3839,50000,0,0,0,0,0,0,0,0
3842,50000,0,0,0,0,0,0,0,1
3857,50000,0,0,0,0,0,0,0,0
3860,50000,0,0,0,0,0,0,0,1
3866,50000,0,0,0,0,0,0,0,0
3869,50000,0,0,0,0,0,0,0,1
3872,50000,0,0,0,0,0,0,0,0
3878,50000,0,0,0,0,0,0,0,1
3881,50000,0,0,0,0,0,0,0,0
3884,50000,0,0,0,0,0,0,0,1
4271,50000,0,0,0,0,0,0,0,0
4286,50000,0,0,0,0,0,0,0,1
4295,50000,0,0,0,0,0,0,0,0
4310,50000,0,0,0,0,0,0,0,1
4313,50000,0,0,0,0,0,0,0,0
4328,50000,0,0,0,0,0,0,0,1
4331,50000,0,0,0,0,0,0,0,0
4335,50000,0,0,0,0,0,0,0,1
4350,50000,0,0,0,0,0,0,0,0
4353,50000,0,0,0,0,0,0,0,1
4362,50000,0,0,0,0,0,0,0,0
4365,50000,0,0,0,0,0,0,0,1
4371,50000,0,0,0,0,0,0,0,0
4383,50000,0,0,0,0,0,0,0,1
4392,50000,0,0,0,0,0,0,0,0
4395,50000,0,0,0,0,0,0,0,1
4398,50000,0,0,0,0,0,0,0,0
4401,50000,0,0,0,0,0,0,0,1
4407,50000,0,0,0,0,0,0,0,0
4410,50000,0,0,0,0,0,0,0,1
4413,50000,0,0,0,0,0,0,0,0
4416,50000,0,0,0,0,0,0,0,1
5912,50000,0,0,0,0,0,0,0,0
5927,50000,0,0,0,0,0,0,0,1
5936,50000,0,0,0,0,0,0,0,0
5951,50000,0,0,0,0,0,0,0,1
5954,50000,0,0,0,0,0,0,0,0
5969,50000,0,0,0,0,0,0,0,1
5972,50000,0,0,0,0,0,0,0,0
5975,50000,0,0,0,0,0,0,0,1
5978,50000,0,0,0,0,0,0,0,0
5984,50000,0,0,0,0,0,0,0,1
5987,50000,0,0,0,0,0,0,0,0
6003,50000,0,0,0,0,0,0,0,1
6018,50000,0,0,0,0,0,0,0,0
6021,50000,0,0,0,0,0,0,0,1
6036,50000,0,0,0,0,0,0,0,0
6039,50000,0,0,0,0,0,0,0,1
6045,50000,0,0,0,0,0,0,0,0
6048,50000,0,0,0,0,0,0,0,1
6051,50000,0,0,0,0,0,0,0,0
6057,50000,0,0,0,0,0,0,0,1
6060,50000,0,0,0,0,0,0,0,0
6063,50000,0,0,0,0,0,0,0,1
7168,50000,0,0,0,0,0,0,0,1
