"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,50000,0,0,0,0,0,0,0,1
85,50000,0,0,0,0,0,0,0,0
101,50000,0,0,0,0,0,0,0,1
110,50000,0,0,0,0,0,0,0,0
125,50000,0,0,0,0,0,0,0,1
128,50000,0,0,0,0,0,0,0,0
143,50000,0,0,0,0,0,0,0,1
146,50000,0,0,0,0,0,0,0,0
149,50000,0,0,0,0,0,0,0,1
152,50000,0,0,0,0,0,0,0,0
167,50000,0,0,0,0,0,0,0,1
170,50000,0,0,0,0,0,0,0,0
176,50000,0,0,0,0,0,0,0,1
185,50000,0,0,0,0,0,0,0,0
198,50000,0,0,0,0,0,0,0,1
200,50000,0,0,0,0,0,0,0,0
204,50000,0,0,0,0,0,0,0,1
207,50000,0,0,0,0,0,0,0,0
219,50000,0,0,0,0,0,0,0,1
306,50000,0,0,0,0,0,0,0,0
322,50000,0,0,0,0,0,0,0,1
331,50000,0,0,0,0,0,0,0,0
346,50000,0,0,0,0,0,0,0,1
349,50000,0,0,0,0,0,0,0,0
364,50000,0,0,0,0,0,0,0,1
367,50000,0,0,0,0,0,0,0,0
370,50000,0,0,0,0,0,0,0,1
373,50000,0,0,0,0,0,0,0,0
388,50000,0,0,0,0,0,0,0,1
391,50000,0,0,0,0,0,0,0,0
397,50000,0,0,0,0,0,0,0,1
406,50000,0,0,0,0,0,0,0,0
419,50000,0,0,0,0,0,0,0,1
421,50000,0,0,0,0,0,0,0,0
425,50000,0,0,0,0,0,0,0,1
428,50000,0,0,0,0,0,0,0,0
440,50000,0,0,0,0,0,0,0,1
527,50000,0,0,0,0,0,0,0,0
543,50000,0,0,0,0,0,0,0,1
552,50000,0,0,0,0,0,0,0,0
567,50000,0,0,0,0,0,0,0,1
570,50000,0,0,0,0,0,0,0,0
585,50000,0,0,0,0,0,0,0,1
588,50000,0,0,0,0,0,0,0,0
591,50000,0,0,0,0,0,0,0,1
594,50000,0,0,0,0,0,0,0,0
609,50000,0,0,0,0,0,0,0,1
612,50000,0,0,0,0,0,0,0,0
618,50000,0,0,0,0,0,0,0,1
627,50000,0,0,0,0,0,0,0,0
640,50000,0,0,0,0,0,0,0,1
642,50000,0,0,0,0,0,0,0,0
646,50000,0,0,0,0,0,0,0,1
649,50000,0,0,0,0,0,0,0,0
661,50000,0,0,0,0,0,0,0,1
748,50000,0,0,0,0,0,0,0,0
764,50000,0,0,0,0,0,0,0,1
773,50000,0,0,0,0,0,0,0,0
788,50000,0,0,0,0,0,0,0,1
791,50000,0,0,0,0,0,0,0,0
806,50000,0,0,0,0,0,0,0,1
