"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,50000,0,0,0,0,0,0,0,1
1943,50000,0,0,0,0,0,0,0,0
1958,50000,0,0,0,0,0,0,0,1
1967,50000,0,0,0,0,0,0,0,0
1983,50000,0,0,0,0,0,0,0,1
1986,50000,0,0,0,0,0,0,0,0
2001,50000,0,0,0,0,0,0,0,1
2004,50000,0,0,0,0,0,0,0,0
2007,50000,0,0,0,0,0,0,0,1
2010,50000,0,0,0,0,0,0,0,0
2025,50000,0,0,0,0,0,0,0,1
2031,50000,0,0,0,0,0,0,0,0
2037,50000,0,0,0,0,0,0,0,1
2052,50000,0,0,0,0,0,0,0,0
2067,50000,0,0,0,0,0,0,0,1
2070,50000,0,0,0,0,0,0,0,0
2073,50000,0,0,0,0,0,0,0,1
2076,50000,0,0,0,0,0,0,0,0
2080,50000,0,0,0,0,0,0,0,1
2082,50000,0,0,0,0,0,0,0,0
2086,50000,0,0,0,0,0,0,0,1
2092,50000,0,0,0,0,0,0,0,0
2095,50000,0,0,0,0,0,0,0,1
3349,50000,0,0,0,0,0,0,0,0
3364,50000,0,0,0,0,0,0,0,1
3373,50000,0,0,0,0,0,0,0,0
3388,50000,0,0,0,0,0,0,0,1
3391,50000,0,0,0,0,0,0,0,0
3406,50000,0,0,0,0,0,0,0,1
3409,50000,0,0,0,0,0,0,0,0
3412,50000,0,0,0,0,0,0,0,1
3427,50000,0,0,0,0,0,0,0,0
3430,50000,0,0,0,0,0,0,0,1
3439,50000,0,0,0,0,0,0,0,0
3442,50000,0,0,0,0,0,0,0,1
3448,50000,0,0,0,0,0,0,0,0
3460,50000,0,0,0,0,0,0,0,1
3469,50000,0,0,0,0,0,0,0,0
3473,50000,0,0,0,0,0,0,0,1
3475,50000,0,0,0,0,0,0,0,0
3479,50000,0,0,0,0,0,0,0,1
3484,50000,0,0,0,0,0,0,0,0
3488,50000,0,0,0,0,0,0,0,1
3491,50000,0,0,0,0,0,0,0,0
3494,50000,0,0,0,0,0,0,0,1
4127,50000,0,0,0,0,0,0,0,0
4142,50000,0,0,0,0,0,0,0,1
4151,50000,0,0,0,0,0,0,0,0
4166,50000,0,0,0,0,0,0,0,1
4169,50000,0,0,0,0,0,0,0,0
4184,50000,0,0,0,0,0,0,0,1
4187,50000,0,0,0,0,0,0,0,0
4190,50000,0,0,0,0,0,0,0,1
4193,50000,0,0,0,0,0,0,0,0
4208,50000,0,0,0,0,0,0,0,1
4214,50000,0,0,0,0,0,0,0,0
4220,50000,0,0,0,0,0,0,0,1
4235,50000,0,0,0,0,0,0,0,0
4251,50000,0,0,0,0,0,0,0,1
4254,50000,0,0,0,0,0,0,0,0
4257,50000,0,0,0,0,0,0,0,1
4260,50000,0,0,0,0,0,0,0,0
4263,50000,0,0,0,0,0,0,0,1
4266,50000,0,0,0,0,0,0,0,0
4269,50000,0,0,0,0,0,0,0,1
4275,50000,0,0,0,0,0,0,0,0
4278,50000,0,0,0,0,0,0,0,1
6376,50000,0,0,0,0,0,0,0,0
6391,50000,0,0,0,0,0,0,0,1
6400,50000,0,0,0,0,0,0,0,0
6415,50000,0,0,0,0,0,0,0,1
6418,50000,0,0,0,0,0,0,0,0
6433,50000,0,0,0,0,0,0,0,1
6436,50000,0,0,0,0,0,0,0,0
6440,50000,0,0,0,0,0,0,0,1
6442,50000,0,0,0,0,0,0,0,0
6458,50000,0,0,0,0,0,0,0,1
6464,50000,0,0,0,0,0,0,0,0
6470,50000,0,0,0,0,0,0,0,1
6485,50000,0,0,0,0,0,0,0,0
6500,50000,0,0,0,0,0,0,0,1
6503,50000,0,0,0,0,0,0,0,0
6506,50000,0,0,0,0,0,0,0,1
6509,50000,0,0,0,0,0,0,0,0
6512,50000,0,0,0,0,0,0,0,1
6515,50000,0,0,0,0,0,0,0,0
6518,50000,0,0,0,0,0,0,0,1
6524,50000,0,0,0,0,0,0,0,0
6527,50000,0,0,0,0,0,0,0,1
7168,50000,0,0,0,0,0,0,0,1
