"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,100000,0,0,0,0,0,1,1,1
1,100000,0,0,0,0,0,1,1,0
2,100000,0,0,0,0,0,1,1,1
3,100000,0,0,0,0,0,1,1,0
4,100000,0,0,0,0,0,1,1,1
5,100000,0,0,0,0,0,1,1,0
7,100000,0,0,0,0,0,1,1,1
8,100000,0,0,0,0,0,1,1,0
9,100000,0,0,0,0,0,1,1,1
10,100000,0,0,0,0,0,1,1,0
11,100000,0,0,0,0,0,1,1,1
12,100000,0,0,0,0,0,1,1,0
13,100000,0,0,0,0,0,1,1,1
14,100000,0,0,0,0,0,1,1,0
15,100000,0,0,0,0,0,1,1,1
16,100000,0,0,0,0,0,1,1,0
17,100000,0,0,0,0,0,1,1,1
19,100000,0,0,0,0,0,1,1,0
20,100000,0,0,0,0,0,1,1,1
21,100000,0,0,0,0,0,1,1,0
22,100000,0,0,0,0,0,1,1,1
23,100000,0,0,0,0,0,1,1,0
25,100000,0,0,0,0,0,1,1,1
26,100000,0,0,0,0,0,1,1,0
27,100000,0,0,0,0,0,1,1,1
28,100000,0,0,0,0,0,1,1,0
29,100000,0,0,0,0,0,1,1,1
31,100000,0,0,0,0,0,1,1,0
32,100000,0,0,0,0,0,1,1,1
33,100000,0,0,0,0,0,1,1,0
34,100000,0,0,0,0,0,1,1,1
35,100000,0,0,0,0,0,1,1,0
36,100000,0,0,0,0,0,1,1,1
38,100000,0,0,0,0,0,1,1,0
39,100000,0,0,0,0,0,1,1,1
40,100000,0,0,0,0,0,1,1,0
41,100000,0,0,0,0,0,1,1,1
42,100000,0,0,0,0,0,1,1,0
44,100000,0,0,0,0,0,1,1,1
45,100000,0,0,0,0,0,1,1,0
46,100000,0,0,0,0,0,1,1,1
47,100000,0,0,0,0,0,1,1,0
48,100000,0,0,0,0,0,1,1,1
50,100000,0,0,0,0,0,1,1,0
51,100000,0,0,0,0,0,1,1,1
52,100000,0,0,0,0,0,1,1,0
53,100000,0,0,0,0,0,1,1,1
54,100000,0,0,0,0,0,1,1,0
55,100000,0,0,0,0,0,1,1,1
56,100000,0,0,0,0,0,1,1,0
57,100000,0,0,0,0,0,1,1,1
58,100000,0,0,0,0,0,1,1,0
59,100000,0,0,0,0,0,1,1,1
60,100000,0,0,0,0,0,1,1,0
62,100000,0,0,0,0,0,1,1,1
63,100000,0,0,0,0,0,1,1,0
64,100000,0,0,0,0,0,1,1,1
65,100000,0,0,0,0,0,1,1,0
66,100000,0,0,0,0,0,1,1,1
67,100000,0,0,0,0,0,1,1,0
69,100000,0,0,0,0,0,1,1,1
70,100000,0,0,0,0,0,1,1,0
71,100000,0,0,0,0,0,1,1,1
72,100000,0,0,0,0,0,1,1,0
73,100000,0,0,0,0,0,1,1,1
75,100000,0,0,0,0,0,1,1,0
76,100000,0,0,0,0,0,1,1,1
77,100000,0,0,0,0,0,1,1,0
78,100000,0,0,0,0,0,1,1,1
79,100000,0,0,0,0,0,1,1,0
81,100000,0,0,0,0,0,1,1,1
82,100000,0,0,0,0,0,1,1,0
83,100000,0,0,0,0,0,1,1,1
84,100000,0,0,0,0,0,1,1,0
85,100000,0,0,0,0,0,1,1,1
86,100000,0,0,0,0,0,1,1,0
88,100000,0,0,0,0,0,1,1,1
89,100000,0,0,0,0,0,1,1,0
90,100000,0,0,0,0,0,1,1,1
91,100000,0,0,0,0,0,1,1,0
92,100000,0,0,0,0,0,1,1,1
94,100000,0,0,0,0,0,1,1,0
95,100000,0,0,0,0,0,1,1,1
96,100000,0,0,0,0,0,1,1,0
97,100000,0,0,0,0,0,1,1,1
98,100000,0,0,0,0,0,1,1,0
99,100000,0,0,0,0,0,1,1,1
100,100000,0,0,0,0,0,1,1,0
101,100000,0,0,0,0,0,1,1,1
102,100000,0,0,0,0,0,1,1,0
103,100000,0,0,0,0,0,1,1,1
104,100000,0,0,0,0,0,1,1,0
106,100000,0,0,0,0,0,1,1,1
107,100000,0,0,0,0,0,1,1,0
108,100000,0,0,0,0,0,1,1,1
109,100000,0,0,0,0,0,1,1,0
110,100000,0,0,0,0,0,1,1,1
112,100000,0,0,0,0,0,1,1,0
113,100000,0,0,0,0,0,1,1,1
114,100000,0,0,0,0,0,1,1,0
115,100000,0,0,0,0,0,1,1,1
116,100000,0,0,0,0,0,1,1,0
118,100000,0,0,0,0,0,1,1,1
119,100000,0,0,0,0,0,1,1,0
120,100000,0,0,0,0,0,1,1,1
121,100000,0,0,0,0,0,1,1,0
122,100000,0,0,0,0,0,1,1,1
123,100000,0,0,0,0,0,1,1,0
125,100000,0,0,0,0,0,1,1,1
126,100000,0,0,0,0,0,1,1,0
127,100000,0,0,0,0,0,1,1,1
128,100000,0,0,0,0,0,1,1,0
129,100000,0,0,0,0,0,1,1,1
131,100000,0,0,0,0,0,1,1,0
132,100000,0,0,0,0,0,1,1,1
133,100000,0,0,0,0,0,1,1,0
134,100000,0,0,0,0,0,1,1,1
135,100000,0,0,0,0,0,1,1,0
136,100000,0,0,0,0,0,1,1,1
137,100000,0,0,0,0,0,1,1,0
138,100000,0,0,0,0,0,1,1,1
139,100000,0,0,0,0,0,1,1,0
140,100000,0,0,0,0,0,1,1,1
141,100000,0,0,0,0,0,1,1,0
143,100000,0,0,0,0,0,1,1,1
144,100000,0,0,0,0,0,1,1,0
145,100000,0,0,0,0,0,1,1,1
146,100000,0,0,0,0,0,1,1,0
147,100000,0,0,0,0,0,1,1,1
149,100000,0,0,0,0,0,1,1,0
150,100000,0,0,0,0,0,1,1,1
151,100000,0,0,0,0,0,1,1,0
152,100000,0,0,0,0,0,1,1,1
153,100000,0,0,0,0,0,1,1,0
154,100000,0,0,0,0,0,1,1,1
156,100000,0,0,0,0,0,1,1,0
157,100000,0,0,0,0,0,1,1,1
158,100000,0,0,0,0,0,1,1,0
159,100000,0,0,0,0,0,1,1,1
160,100000,0,0,0,0,0,1,1,0
162,100000,0,0,0,0,0,1,1,1
163,100000,0,0,0,0,0,1,1,0
164,100000,0,0,0,0,0,1,1,1
165,100000,0,0,0,0,0,1,1,0
166,100000,0,0,0,0,0,1,1,1
168,100000,0,0,0,0,0,1,1,0
169,100000,0,0,0,0,0,1,1,1
170,100000,0,0,0,0,0,1,1,0
171,100000,0,0,0,0,0,1,1,1
172,100000,0,0,0,0,0,1,1,0
173,100000,0,0,0,0,0,1,1,1
175,100000,0,0,0,0,0,1,1,0
176,100000,0,0,0,0,0,1,1,1
177,100000,0,0,0,0,0,1,1,0
178,100000,0,0,0,0,0,1,1,1
179,100000,0,0,0,0,0,1,1,0
180,100000,0,0,0,0,0,1,1,1
181,100000,0,0,0,0,0,1,1,0
182,100000,0,0,0,0,0,1,1,1
183,100000,0,0,0,0,0,1,1,0
184,100000,0,0,0,0,0,1,1,1
186,100000,0,0,0,0,0,1,1,0
187,100000,0,0,0,0,0,1,1,1
188,100000,0,0,0,0,0,1,1,0
189,100000,0,0,0,0,0,1,1,1
190,100000,0,0,0,0,0,1,1,0
191,100000,0,0,0,0,0,1,1,1
193,100000,0,0,0,0,0,1,1,0
194,100000,0,0,0,0,0,1,1,1
195,100000,0,0,0,0,0,1,1,0
