0 CF FF FF 5A 5F FF FF                  CD: 70 track: 0   min: 0 sek: A5
FF FF C7 DE 5A 17 0 7F                  CD: 40 track: 38   min: 21 sek: A5
FF FF FF DE 5A 5F FF FF                  CD: 40 track: 0   min: 21 sek: A5
FF FB 42 D0 F FF FF BC                  CD: 44 track: BD   min: 2F sek: F0
FF FF BC B4 BF FF FF FF                  CD: 40 track: 43   min: 4B sek: 40
B4 FF FF FF FF FF 8F BC                  CD: 40 track: 0   min: 0 sek: 0
FF FF FF FF 8F BC B4 2B                  CD: 40 track: 0   min: 0 sek: 70
B4 BF FF FF B4 FF FF BC                  CD: 0 track: 0   min: 0 sek: 4B
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FF FF FF BF                  CD: 96 track: FF   min: 0 sek: 0
532C10EF - DISABLE
B4 BF FF FF FF FF 8F BC                  CD: 0 track: 0   min: 0 sek: 0
532C14EB - end cmd/next cd
D4 7F FF FF FF FF 1F B8                  CD: C0 track: 0   min: 0 sek: 0
7A 5F FF FF FF FF C7 FE                  CD: E0 track: 0   min: 0 sek: 0
F4 29 0 FF FF FF FF F4                  CD: 96 track: FF   min: 0 sek: 0
F4 FF FC FF FF FF FF FC                  CD: 40 track: 3   min: 0 sek: 0
29 0 FF FF FF FF FC F4                  CD: BF track: 0   min: 0 sek: 0
F4 BF FF FF FC FF 8F FC                  CD: 0 track: 0   min: 0 sek: 3
F4 DF FF FF FF FF C7 FE                  CD: 60 track: 0   min: 0 sek: 0
F4 BF FF FF FF FF 8F FC                  CD: 0 track: 0   min: 0 sek: 0
F4 BF FF FF FF FF 8F FE                  CD: 0 track: 0   min: 0 sek: 0
F4 BF FF FF FF FF 8F FC                  CD: 0 track: 0   min: 0 sek: 0
B4 2E 0 FF FF FF FF BC                  CD: 91 track: FF   min: 0 sek: 0
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2D 0 FF FF FF FF BC                  CD: 92 track: FF   min: 0 sek: 0
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 7D FF B4 FF FF FF BC                  CD: C2 track: 0   min: 4B sek: 0
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FB FE FF                  CD: 95 track: FF   min: 0 sek: 0
68 7D FD FF FF FE DF 78                  CD: C2 track: 2   min: 0 sek: 0
2D 2F BF BF FF FF DB EF                  CD: 90 track: 40   min: 40 sek: 0
B4 FF FF F7 FF FF 6F BC                  CD: 40 track: 0   min: 8 sek: 0
BE FE FF FF FF 6F BC B4                  CD: 41 track: 0   min: 0 sek: 0
B4 BE FE FF BC 0 FF BC                  CD: 1 track: 1   min: 0 sek: 43
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 2B 0 FF FF FF FF B4                  CD: 94 track: FF   min: 0 sek: 0
B4 FF 79 FF FF FF FF 7C                  CD: 40 track: 86   min: 0 sek: 0
FF FF FF FF BE 5A 5F 7F                  CD: 40 track: 0   min: 0 sek: 41
B4 29 0 FF BC FF 6F BC                  CD: 96 track: FF   min: 0 sek: 43
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2D 0 FF FF FF FF BC                  CD: 92 track: FF   min: 0 sek: 0
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BE FF 6F 0 FF FF BC                  CD: 1 track: 0   min: 90 sek: FF
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF B4 FF                  CD: 95 track: FF   min: 0 sek: 0
B4 FF FF FF 6F BC FF BC                  CD: 40 track: 0   min: 0 sek: 90
FF BC B4 BE FE FF FF FF                  CD: 3 track: 4B   min: 41 sek: 1
B4 0 FF B4 FF FF 6F BC                  CD: BF track: 0   min: 4B sek: 0
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 FF 6F A8 FF FF FF BC                  CD: 40 track: 90   min: 57 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FE BE FF BC                  CD: 96 track: FF   min: 0 sek: 1
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2D 0 FF FF FF FF BC                  CD: 92 track: FF   min: 0 sek: 0
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BE FE FF 6F 2B FF BC                  CD: 1 track: 1   min: 0 sek: 90
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 FE 6F FF FF FF FF BC                  CD: 41 track: 90   min: 0 sek: 0
FF FF FF FF BC B4 BE FE                  CD: 40 track: 0   min: 0 sek: 43
B4 2E 0 FF 74 FF B7 DE                  CD: 91 track: FF   min: 0 sek: 8B
BA 5F 7F 7F FF FF B7 DE                  CD: E0 track: 80   min: 80 sek: 0
B4 BE FE FF FF BC FF FF                  CD: 1 track: 1   min: 0 sek: 0
B4 FF FF FF FF BC 6F BC                  CD: 40 track: 0   min: 0 sek: 0
6F BC B4 2B 0 FF FF FF                  CD: 3 track: 4B   min: D4 sek: FF
B4 FF 6F 2A FF FF FF BC                  CD: 40 track: 90   min: D5 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FF FE FF BC                  CD: 96 track: FF   min: 0 sek: 0
B4 BE FE FF FF FF 6F BC                  CD: 1 track: 1   min: 0 sek: 0
B4 2D 0 FF FF FF FF BC                  CD: 92 track: FF   min: 0 sek: 0
B4 BD FE FF FF FF 6F BC                  CD: 2 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BD FE FF B4 0 FF BC                  CD: 2 track: 1   min: 0 sek: 4B
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 FF 6F FF FF FF FF BC                  CD: 40 track: 90   min: 0 sek: 0
0 FF FF FF FF BC B4 BD                  CD: 40 track: 0   min: 0 sek: 0
B4 2E EC DC B4 FF 6F BC                  CD: 91 track: 13   min: 23 sek: 4B
B4 BD FE FF FF FF 6F BC                  CD: 2 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BD FE FF FF FF 6F BC                  CD: 2 track: 1   min: 0 sek: 0
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
9A 5E FF DE 2A FF FF BC                  CD: E1 track: 0   min: 21 sek: D5
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FF FF FE FF                  CD: 96 track: FF   min: 0 sek: 0
B4 FF FF FF 6F BC FF BC                  CD: 40 track: 0   min: 0 sek: 90
FF BC B4 BD FE FF FF FF                  CD: 3 track: 4B   min: 42 sek: 1
B4 FF FF FE FF FF 6F BC                  CD: 40 track: 0   min: 1 sek: 0
B4 BD FE FF FF FF 6F BC                  CD: 2 track: 1   min: 0 sek: 0
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 BD FE FF FF FF 6F BC                  CD: 2 track: 1   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 FF 6F 0 FF FF FF BC                  CD: 40 track: 90   min: FF sek: 0
29 0 FF FF FF FF BC B4                  CD: BF track: 0   min: 0 sek: 0
B4 2E EC CE FF FE FF BC                  CD: 91 track: 13   min: 31 sek: 0
B4 BD FE FF FF FF 6F BC                  CD: 2 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BD FE FF FF FF 6F BC                  CD: 2 track: 1   min: 0 sek: 0
B4 2B 0 FF FF FF FF DE                  CD: 94 track: FF   min: 0 sek: 0
B4 BD FE B7 2A FF FF BC                  CD: 2 track: 1   min: 48 sek: D5
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 7F FF FF DE FF                  CD: 96 track: FF   min: 80 sek: 0
B4 FF FB 7D ED DC FF BC                  CD: 40 track: 4   min: 82 sek: 12
DD CF FB CB 4B CF EF FF                  CD: 70 track: 4   min: 34 sek: B4
B4 FF FF BC FF FF 6F BC                  CD: 40 track: 0   min: 43 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2B 80 7F FF FF FF DE                  CD: 94 track: 7F   min: 80 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2A 0 FF FF FF FF B4                  CD: 95 track: FF   min: 0 sek: 0
B4 FF 6F BC FF FF FF BC                  CD: 40 track: 90   min: 43 sek: 0
FF FF FF BC B4 BC FE FF                  CD: 40 track: 0   min: 43 sek: 4B
B4 67 FF BC FF FF 6F BC                  CD: D8 track: 0   min: 43 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2B 0 7F FF FF FF DE                  CD: 94 track: FF   min: 80 sek: 0
B4 FF DF A8 FF FF FF EF                  CD: 40 track: 20   min: 57 sek: 0
B4 2A 0 7F FF FF FF EF                  CD: 95 track: FF   min: 80 sek: 0
B4 29 0 FF BC FE FF BC                  CD: 96 track: FF   min: 0 sek: 43
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 DA 0 FF FF FF FF BC                  CD: 65 track: FF   min: 0 sek: 0
5A BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
5A B 0 3F FF FF FF F7                  CD: B4 track: FF   min: C0 sek: 0
B4 BC FE FF 15 FF FF BC                  CD: 3 track: 1   min: 0 sek: EA
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 FF DE FF FF FF FF BC                  CD: 40 track: 21   min: 0 sek: 0
FF FF FF FF BC B4 BC FE                  CD: 40 track: 0   min: 0 sek: 43
B4 CE FF BC FF FF 6F BC                  CD: 71 track: 0   min: 43 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 FF 6F 1 FF FF FF DE                  CD: 40 track: 90   min: FE sek: 0
B4 2A 0 FF FF FF FF DE                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FF BC FF 6F                  CD: 96 track: FF   min: 0 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 6D 0 FF FF FF FF DE                  CD: D2 track: FF   min: 0 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BC FE FF 6F 2B FF BC                  CD: 3 track: 1   min: 0 sek: 90
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 FE 6F FF FF FF FF BC                  CD: 41 track: 90   min: 0 sek: 0
0 FF FF FF FF BC B4 BC                  CD: 40 track: 0   min: 0 sek: 0
B4 2E EC CE FF BC FF BC                  CD: 91 track: 13   min: 31 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2C 0 FF FF FF FF BC                  CD: 93 track: FF   min: 0 sek: 0
B4 BC FE FF FF FF 6F BC                  CD: 3 track: 1   min: 0 sek: 0
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 BC FE 6F 2A FF FF BC                  CD: 3 track: 1   min: 90 sek: D5
B4 2A 0 FF FF FF FF BC                  CD: 95 track: FF   min: 0 sek: 0
B4 29 0 FF FF FF FF FE                  CD: 96 track: FF   min: 0 sek: 0
B4 FF 6F BC AD DC FF BC                  CD: 40 track: 90   min: 43 sek: 52
AD DC FF BC B4 BC FE FF                  CD: 63 track: 0   min: 43 sek: 4B
B4 FF FF FE FF FF 6F BC                  CD: 40 track: 0   min: 1 sek: 0
BC FE FF FF FF 6F BC B4                  CD: 41 track: 0   min: 0 sek: 0
B4 BC FE FF 6F 0 FF BC                  CD: 3 track: 1   min: 0 sek: 90
B4 2B 0 FF FF FF FF BC                  CD: 94 track: FF   min: 0 sek: 0
B4 2A 0 FF FF FF FF B4                  CD: 95 track: FF   min: 0 sek: 0
B4 FF 6F FF FF FF FF BC                  CD: 40 track: 90   min: 0 sek: 0
29 0 FF FF FF FF BC B4                  CD: BF track: 0   min: 0 sek: 0
B4 2E EC CE FF BC FF DE                  CD: 91 track: 13   min: 31 sek: 0
B4 BC FE FF FF FF 6F DE                  CD: 3 track: 1   min: 0 sek: 0
B4 BC FE FF FF FF F7 2C                  CD: 3 track: 1   min: 0 sek: 0
B4 FF FF FF FF FF 6F BC                  CD: 40 track: 0   min: 0 sek: 0
